Transaction_ID,Customer_ID,Customer_Name,Customer_Email,Gender,Province,Order_Date,Load_Timestamp,Product_Category,Quantity,Unit_Price,Discount_Rate,Transaction_Amount,Payment_Method,Order_Status,Is_Promotion,Customer_Email_Was_Missing,Province_Was_Missing,Order_Date_Parse_Method,Order_Date_Was_Imputed,Quantity_Was_Invalid,Expected_Amount,Amount_Diff,Accuracy_Flag,Order_Status_Was_Invalid,Outlier_Flag_Before_Capping,Load_Delay_Hours,Is_Late_Load
T000127,C0103,Tee Phromla,tee.phromla103@example.com,F,Phuket,2026-06-11,2026-06-11 05:00:00,Sports,3,110.26,0.05,314.24,PromptPay,Cancelled,N,False,False,ISO_format,False,False,314.241,0.0009999999999763531,False,False,False,5.0,False
T000169,C0138,Mint Dechawat,mint.dechawat138@example.com,M,Khon Kaen,2026-01-24,2026-01-24 01:00:00,Home,3,138.08,0.05,393.53,PromptPay,Processing,N,False,False,ISO_format,False,False,393.52799999999996,0.0020000000000095497,False,False,False,1.0,False
T000003,C0071,Aom Sukjai,aom.sukjai71@example.com,M,Chanthaburi,2026-05-29,2026-05-29 05:00:00,Home,4,263.93,0.0,1055.72,Cash on Delivery,Cancelled,N,False,False,MM_DD_YYYY_unambiguous,False,False,1055.72,0.0,False,False,False,5.0,False
T000336,C0152,Tee Dechawat,tee.dechawat152@example.com,M,Chanthaburi,2026-02-01,2026-02-01 18:00:00,Food,6,116.53,0.1,629.26,Bank Transfer,Returned,N,False,False,MM_DD_YYYY_by_load_ts,True,False,629.2620000000001,0.002000000000066393,False,False,False,18.0,False
T000093,C0090,Mook Sukjai,mook.sukjai90@example.com,M,Chanthaburi,2026-04-18,2026-04-18 13:00:00,Electronics,5,358.35,0.0,1791.75,PromptPay,Processing,N,False,False,ISO_format,False,False,1791.75,0.0,False,False,False,13.0,False
T000440,C0038,Boss Kittikul,boss.kittikul38@example.com,F,Nakhon Ratchasima,2026-02-23,2026-02-23 05:00:00,Sports,6,142.14,0.0,852.84,Credit Card,Processing,N,False,False,ISO_format,False,False,852.8399999999999,1.1368683772161603e-13,False,False,False,5.0,False
T000419,C0147,Film Chaiyo,film.chaiyo147@example.com,M,Chiang Mai,2026-06-01,2026-06-01 10:00:00,Fashion,2,334.89,0.0,669.78,Bank Transfer,Processing,N,False,False,ISO_format,False,False,669.78,0.0,False,False,False,10.0,False
T000307,C0018,Nont Chaiyo,nont.chaiyo18@example.com,M,Phuket,2026-02-06,2026-02-06 13:00:00,Home,4,484.67,0.0,1891.04,Bank Transfer,Completed,N,False,False,MM_DD_YYYY_by_load_ts,True,False,1938.68,47.6400000000001,True,False,False,13.0,False
T000438,C0073,May Lertprasert,may.lertprasert73@example.com,M,Bangkok,2026-02-26,2026-02-26 09:00:00,Sports,6,238.93,0.1,1290.22,Bank Transfer,Processing,N,False,False,ISO_format,False,False,1290.222,0.0019999999999527063,False,False,False,9.0,False
T000544,C0103,Tee Phromla,tee.phromla103@example.com,F,Phuket,2026-04-25,2026-04-25 03:00:00,Beauty,5,68.77,0.05,326.66,Bank Transfer,Returned,Y,False,False,ISO_format,False,False,326.65749999999997,0.0025000000000545697,False,False,False,3.0,False
